ID,batter,non-striker,batsman_run
1304065,SS Iyer,N Rana,35
1304065,SW Billings,AD Russell,15
1304065,UT Yadav,AD Russell,0
1304065,VR Iyer,AM Rahane,18
1304066,A Badoni,Q de Kock,5
1304066,Avesh Khan,MP Stoinis,7
1304066,D Padikkal,HE van der Dussen,0
1304066,D Padikkal,JC Buttler,25
1304066,D Padikkal,SV Samson,4
1304066,DJ Hooda,Q de Kock,25
1304066,HE van der Dussen,D Padikkal,4
1304066,HE van der Dussen,SO Hetmyer,0
1304066,JC Buttler,D Padikkal,13
1304066,JO Holder,Q de Kock,8
1304066,K Gowtham,Q de Kock,0
1304066,KH Pandya,MP Stoinis,0
1304066,KH Pandya,Q de Kock,22
1304066,KL Rahul,Q de Kock,0
1304066,MP Stoinis,Avesh Khan,28
1304066,MP Stoinis,KH Pandya,1
1304066,MP Stoinis,PVD Chameera,9
1304066,PVD Chameera,MP Stoinis,13
1304066,Q de Kock,A Badoni,17
1304066,Q de Kock,DJ Hooda,13
1304066,Q de Kock,JO Holder,4
1304066,Q de Kock,KH Pandya,5
1304066,R Ashwin,SO Hetmyer,28
1304066,R Parag,SO Hetmyer,8
1304066,SO Hetmyer,HE van der Dussen,3
1304066,SO Hetmyer,R Ashwin,36
1304066,SO Hetmyer,R Parag,20
1304066,SV Samson,D Padikkal,13
1304066,TA Boult,SO Hetmyer,2
1304067,A Manohar,HH Pandya,35
1304067,AK Markram,N Pooran,12
1304067,Abhishek Sharma,KS Williamson,42
1304067,B Sai Sudharsan,MS Wade,11
1304067,DA Miller,HH Pandya,12
1304067,HH Pandya,A Manohar,11
1304067,HH Pandya,DA Miller,22
1304067,HH Pandya,MS Wade,15
1304067,HH Pandya,R Tewatia,1
1304067,HH Pandya,Rashid Khan,1
1304067,KS Williamson,Abhishek Sharma,22
1304067,KS Williamson,N Pooran,15
1304067,KS Williamson,RA Tripathi,20
1304067,MS Wade,B Sai Sudharsan,12
1304067,MS Wade,HH Pandya,2
1304067,MS Wade,Shubman Gill,5
1304067,N Pooran,AK Markram,26
1304067,N Pooran,KS Williamson,8
1304067,R Tewatia,HH Pandya,6
1304067,RA Tripathi,KS Williamson,17
1304067,Rashid Khan,HH Pandya,0
1304067,Shubman Gill,MS Wade,7
1304068,Akash Deep,KD Karthik,0
1304068,Anuj Rawat,F du Plessis,6
1304068,Anuj Rawat,GJ Maxwell,1
1304068,Anuj Rawat,V Kohli,5
1304068,F du Plessis,Anuj Rawat,8
1304068,GJ Maxwell,Anuj Rawat,21
1304068,GJ Maxwell,Shahbaz Ahmed,5
1304068,JR Hazlewood,Mohammed Siraj,7
1304068,KD Karthik,Mohammed Siraj,21
1304068,KD Karthik,PWH de Silva,6
1304068,KD Karthik,Shahbaz Ahmed,7
1304068,MM Ali,RV Uthappa,3
1304068,Mohammed Siraj,JR Hazlewood,14
1304068,Mohammed Siraj,KD Karthik,0
1304068,PWH de Silva,KD Karthik,7
1304068,RA Jadeja,S Dube,0
1304068,RD Gaikwad,RV Uthappa,17
1304068,RV Uthappa,MM Ali,13
1304068,RV Uthappa,RD Gaikwad,2
1304068,RV Uthappa,S Dube,73
1304068,S Dube,MS Dhoni,15
1304068,S Dube,RV Uthappa,80
1304068,SS Prabhudessai,Shahbaz Ahmed,34
1304068,Shahbaz Ahmed,GJ Maxwell,3
1304068,Shahbaz Ahmed,KD Karthik,14
1304068,Shahbaz Ahmed,SS Prabhudessai,24
1304068,V Kohli,Anuj Rawat,1
1304069,D Brevis,Ishan Kishan,0
1304069,D Brevis,Tilak Varma,49
1304069,Ishan Kishan,D Brevis,0
1304069,Ishan Kishan,RG Sharma,3
1304069,JD Unadkat,M Ashwin,8
1304069,JD Unadkat,SA Yadav,4
1304069,JJ Bumrah,M Ashwin,0
1304069,JM Bairstow,S Dhawan,12
1304069,JM Sharma,M Shahrukh Khan,27
1304069,JM Sharma,OF Smith,0
1304069,JM Sharma,S Dhawan,3
1304069,KA Pollard,SA Yadav,10
1304069,LS Livingstone,S Dhawan,2
1304069,M Ashwin,JD Unadkat,0
1304069,M Shahrukh Khan,JM Sharma,15
1304069,MA Agarwal,S Dhawan,52
1304069,OF Smith,JM Sharma,1
1304069,RG Sharma,Ishan Kishan,28
1304069,S Dhawan,JM Bairstow,17
1304069,S Dhawan,JM Sharma,18
1304069,S Dhawan,LS Livingstone,1
1304069,S Dhawan,MA Agarwal,34
1304069,SA Yadav,JD Unadkat,21
1304069,SA Yadav,KA Pollard,10
1304069,SA Yadav,Tilak Varma,12
1304069,TS Mills,M Ashwin,0
1304069,Tilak Varma,D Brevis,34
1304069,Tilak Varma,SA Yadav,2
1304070,A Manohar,HH Pandya,43
1304070,D Padikkal,JC Buttler,0
1304070,DA Miller,HH Pandya,31
1304070,HE van der Dussen,SO Hetmyer,5
1304070,HE van der Dussen,SV Samson,1
1304070,HH Pandya,A Manohar,42
1304070,HH Pandya,DA Miller,20
1304070,HH Pandya,Shubman Gill,25
1304070,JC Buttler,D Padikkal,28
1304070,JC Buttler,R Ashwin,20
1304070,JC Buttler,SV Samson,6
1304070,JDS Neesham,M Prasidh Krishna,8
1304070,JDS Neesham,R Parag,9
1304070,KR Sen,M Prasidh Krishna,0
1304070,M Prasidh Krishna,JDS Neesham,1
1304070,M Prasidh Krishna,YS Chahal,3
1304070,MS Wade,Shubman Gill,12
1304070,R Ashwin,JC Buttler,8
